product_name,product_price,installment_price,free_shipment
 Symbiote Spider-man Vol.3 Marvel Televisa 2019 ,59.0,,False
 Comic Blackest Night Linterna Verde Edicion Deluxe Tapa Dura ,649.0,54.08,True
 He-man Thundercats Completo Dc Comics Televisa 2019 ,360.0,35.57,False
 Comic Superman Serie Regular Varios Números Vid Español ,35.0,,False
 Marvel Movie Collection Fasiculo # 24 Heimdall Nuevo Sellado ,498.0,49.2,False
 30 Pares Bonita Sandalia Tipica Mexicana Envio Incluido ,1800.0,150.0,True
 Funko Pop Hermione Granger Herbology Mandragora ,389.0,38.43,True
 Watchmen Comic Dc Comics Black Label Pasta Dura ,700.0,69.15,True
 Comic Marvel Grandes Eventos Civil War Español Sellado ,399.0,33.25,False
 Comic Dc Definitive Edition Injustice 2: Volumen 6 ,249.0,20.75,False
 Dc Essential Edition Justice League: La Guerra De Darkseid ,549.0,45.75,True
 Comic The Amazing Spider-man: De Vuelta A Lo Básico Sellado ,199.0,16.58,False
 Catwoman Serie De Los 90´s Ingles Numeros Sueltos ,60.0,,False
 Comic Kaliman El Dragon Rojo Completa Sellado Nuevo ,229.0,19.08,False
 Comic Marvel Monster Edition Thanos Gana Libro 10 ,399.0,33.25,False
 400 Bolsas Y 400 Cartones Protectores Para Comics Con Envio ,650.0,54.17,True
 Marvel Movie Collection Fasiculo # 21 Ultron ¡nuevo Sellado! ,580.0,57.3,True
 Comic Batman: Batman: Last Knight On Earth Libro Dos ,119.0,9.92,False
 Termo Para Café Starbuks Krusty El Payaso Simpsons ,385.0,,True
 Bolsa Protectora P/ Comics Tamaño Monster/omnibus/definitive ,90.0,,False
 El Viejo Y El Narco Panini Comics ,180.0,17.78,False
 Marvel Zombies Vs. Army Of Darkness Monster Edition ,399.0,39.42,True
 Mini Lampara Bati-señal Nueva De Colección + Libreto ,349.0,34.48,False
 Marvel Movie Collection Fasiculo # 17 Drax Esc 1:16 ,549.0,54.24,True
 Mochila Supervivencia Envio Gratis. ,600.0,,True
 Carnage Marvel Monster Edition ,240.0,23.71,False
 Dc Comics The Batman Who Laughs # 6 Español Carton Y Bolsita ,99.0,,False
 Batman Last Knight On Earth Vol.1 Dc Televisa 2019 ,122.0,12.05,False
 Anillo Linterna Roja Red Lantern Corps Dc Varias Tallas Igo ,429.0,42.38,False
 Superman (chicos) Dc Comics - Editorial Vid 2000's - Español ,39.0,,False
 Termo Para Café Monster Musume Estilo Starbucks ,385.0,,True
 Flash Rebirth Vol.13 El Boton Dc Comic´s Televisa 2018 ,77.0,,False
 Dc Semanal: Batman: Sins Of The Father #1 (de 6) Nuevo ,59.0,,False
 Comic Marvel Deluxe Spider-verse Tomo 2 Nuevo Y Sellado ,649.0,54.08,True
 Batman Detective Comics The New 52 Futures End Dc Comics 3d ,150.0,14.82,False
 Marvel 1602 Neil Gaiman Marvel Deluxe Pasta Dura ,750.0,74.09,True
 Comic Batman Frank Miller Año Uno Nuevo Ingles ,299.0,24.92,False
 Dc Universe Vs Masters Of The Universe Vol.1 Televisa 2019 ,77.0,,False
 Sandman Vol.2 Vertigo Deluxe Pasta Dura ,750.0,74.09,True
 35 Pares Bonita Sandalia Rebozo Tipica Varios Colores #23-26 ,2100.0,207.46,True
 Amazing Spider-man Vol.794 Y 795 Marvel Televisa 2018 ,77.0,,False
 Flashpoint Deluxe ,550.0,45.83,True
 Symbiote Spider-man Vol.4 Marvel Televisa 2019 ,59.0,,False
 Darth Vader Casco Star Wars Esc 1/5 ,299.0,29.54,True
 Batman Damned Vol.3 Dc Comics Televisa Black Label ,200.0,19.76,False
" Pack Dark Horse Books Hellboy 1 , 2 , 3 Nuevo Sellado!! ",429.0,42.47,False
 300 Bolsa P/comics 70 Monster 70 Deluxe ,320.0,26.67,False
 Cascos Star Wars Deagostini ,382.0,37.74,False
 60bolsas/cartones Comic Grapa ,120.0,11.85,False
 Cómics Smash Clásicos 3 Primeras Apariciones No Spiderman ,400.0,39.52,True
 Blackest Night Dc Deluxe Essential Pasta Dura ,600.0,59.28,True
 Edge Of Spider-verse Vol.2 Var Marvel Semanal Televisa 2015 ,122.0,12.05,False
 El Origen De Kaliman Vol.2 Kamite 2019 ,100.0,9.88,False
 Caja Para Comics Dc Batman Robin Batgirl Dark Knight Joker ,339.0,33.54,False
" Comic Trilogia Umbrella Academy Apocalipsis, Dallas, Hotel ",799.0,66.58,True
 Comic Superman Action Comics # 1000 Portada Jim Lee ,75.0,,False
 Lágrimas Y Risas Edar 60´s Gigantes Primeras Ediciones ,30.0,,False
" Anibal 5, De Alexandro Jodorowski- Completo ",400.0,33.33,True
 Comic Dc Black Label: Batman: Damned Compilacion Tapa Dura ,549.0,45.75,True
 Dc Clásicos Modernos: Batman: Knightfall Vol. 2 ,350.0,34.58,False
" Arma Tu R2-d2 Star Wars, Fascículo 30 Al Actual Cada Uno Por ",339.0,33.49,False
" Arma El Delorean De Volver Al Futuro,no27 Al Actual C/u Por ",339.0,33.49,False
 La Ultima Cacería De Kraven Spider-man Marvel Deluxe 2019 ,450.0,44.46,False
 Termo Cilindrico Deadpool Con Tu Nombre. ,395.0,32.92,True
" Batman Y Flash , El Botón, The Button , Historia Completa ",299.0,29.54,False
 Batman Detective Comics 80 Años Dc Deluxe Pasta Dura ,800.0,79.03,True
 Batman Damned Libro Uno En Español Dc Comics Smash ,140.0,13.83,False
 X-men La Saga De Dark Phoenix Marvel Monster Edition ,370.0,36.55,False
 Pulsera Batman Liga De Coleccionistas ,150.0,14.82,True
